InitialDHWeight,InitialCritWeight,InitialDetWeight,InitialSSWeight,Weapon,Head,Chest,Hands,Legs,Feet,Ear,Neck,Wrist,Finger1,Finger2,Food,WD,Int,DH,Crit,Det,SS,DPS,Gain
6400.0,80.0,1.0,0.0,Diadochos Rod (DH+DH+DH+DH+DH),Diadochos Beret (Crit+Crit+Crit+Det+Det),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (Det+Det+DH+DH+DH),Diadochos Bottoms (Det+Crit+Crit+Det+Crit),Diadochos Boots (DH+DH+DH+DH+DH),Diadochos Earring (Crit+DH+Crit+Crit+DH),Diadochos Choker (DH+DH+DH+DH+DH),Diadochos Wristband (Crit+Crit+Crit+Crit+Crit),Diadochos Ring (Det+Det+SS+SS+Det),Diadochos Ring (Det+Det+SS+Det+Det),Caviar Canapes,127,3071,1638,2311,1269,1378,11650.794312534,-10.0%
6400.0,1.0,80.0,0.0,Diadochos Rod (DH+DH+DH+DH+DH),Diadochos Beret (DH+DH+DH+DH+DH),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (SS+SS+DH+SS+Det),Diadochos Bottoms (Det+Det+Det+Det+Det),Diadochos Boots (DH+DH+DH+DH+DH),Diadochos Earring (Crit+DH+Crit+Crit+DH),Diadochos Choker (DH+DH+DH+DH+DH),Diadochos Wristband (Det+Det+Det+Det+Det),Diadochos Ring (Det+Det+SS+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Caviar Canapes,127.0,3071.0,1753,2011,1377,1462,11645.43209428325,-10.1%
6400.0,0.0,80.0,1.0,Diadochos Rod (DH+DH+DH+DH+DH),Diadochos Beret (DH+DH+DH+DH+DH),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (Det+Det+Det+SS+SS),Diadochos Bottoms (Det+Det+Det+Det+Det),Diadochos Boots (DH+DH+DH+DH+DH),Diadochos Earring (SS+DH+SS+SS+DH),Diadochos Choker (DH+DH+DH+DH+DH),Diadochos Wristband (Det+Det+Det+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Diadochos Ring (SS+Det+SS+Det+Det),Caviar Sandwich,127.0,3071.0,1779,1848,1437,1533,11633.357378908,-10.2%
0.0,6400.0,1.0,80.0,Voidcast Rod (SS+SS),Diadochos Beret (Crit+Crit+Crit+Crit+Crit),Credendum Surcoat (SS+SS),Diadochos Armlets (SS+SS+SS+SS+SS),Diadochos Bottoms (Det+Crit+Crit+SS+SS),Diadochos Boots (SS+Det+Det+SS+SS),Diadochos Earring (Crit+Crit+Crit+Crit+Crit),Diadochos Choker (SS+SS+SS+SS+SS),Diadochos Wristband (Crit+Crit+Crit+Crit+Crit),Diadochos Ring (Det+Det+SS+SS+Det),Diadochos Ring (DH+DH+SS+Det+Det),Baked Eggplant,128.0,3102.0,1111,2426,1268,1692,11800.81115674125,-8.93%
1.0,6400.0,0.0,80.0,Diadochos Rod (DH+DH+DH+DH+DH),Diadochos Beret (Crit+Crit+Crit+Crit+Crit),Credendum Surcoat (SS+SS),Diadochos Armlets (SS+SS+SS+SS+SS),Diadochos Bottoms (SS+Crit+Crit+SS+Crit),Diadochos Boots (SS+DH+DH+SS+SS),Diadochos Earring (Crit+Crit+Crit+Crit+Crit),Diadochos Choker (SS+SS+SS+SS+SS),Diadochos Wristband (Crit+Crit+Crit+Crit+Crit),Diadochos Ring (Det+Det+Det+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Caviar Canapes,127.0,3091.0,1243,2389,1141,1779,11722.168775913,-9.54%
80.0,0.0,6400.0,1.0,Diadochos Rod (Det+Det+Det+Det+Det),Diadochos Beret (Det+DH+DH+Det+Det),Diadochos Coat (Det+Det+DH+Det+DH),Diadochos Armlets (Det+Det+Det+Det+Det),Diadochos Bottoms (Det+Det+Det+SS+SS),Diadochos Boots (Det+Det+Det+Det+Det),Diadochos Earring (SS+DH+SS+SS+DH),Diadochos Choker (Det+DH+Det+DH+DH),Diadochos Wristband (Det+Det+Det+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Diadochos Ring (SS+Det+SS+Det+Det),Caviar Sandwich,127.0,3071.0,1323,1848,1880,1533,11618.643844708002,-10.3%
1.0,80.0,6400.0,0.0,Diadochos Rod (Det+Det+Det+Det+Det),Diadochos Beret (Det+Crit+Crit+Det+Det),Diadochos Coat (Det+Det+DH+Det+DH),Diadochos Armlets (Det+Det+Det+Det+Det),Diadochos Bottoms (Det+Det+Det+Det+Det),Diadochos Boots (Det+Det+Det+Det+Det),Diadochos Earring (Crit+Crit+Crit+Crit+Crit),Diadochos Choker (Det+DH+Det+DH+DH),Diadochos Wristband (Crit+Crit+SS+SS+Det),Diadochos Ring (Det+Det+SS+SS+Det),Diadochos Ring (Det+Det+SS+Det+Det),Caviar Canapes,127.0,3071.0,1147,2203,1844,1402,11641.371842388,-10.1%
0.0,-1.0,1.0,1.0,Diadochos Rod (Det+Det+Det+Det+Det),Diadochos Beret (Det+DH+DH+Det+Det),Diadochos Coat (SS+DH+DH+Det+Det),Diadochos Armlets (Det+Det+Det+Det+Det),Diadochos Bottoms (Det+Det+Det+Det+Det),Diadochos Boots (Det+Det+Det+Det+Det),Diadochos Earring (SS+SS+SS+SS+SS),Diadochos Choker (SS+SS+Det+Det+Det),Diadochos Wristband (Det+Det+Det+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Diadochos Ring (SS+Det+SS+Det+Det),Caviar Sandwich,127.0,3071.0,1245,1848,1838,1665,11627.954635839998,-10.2%
1.0,0.0,-1.0,1.0,Diadochos Rod (DH+DH+DH+DH+DH),Diadochos Beret (DH+DH+DH+DH+DH),Diadochos Coat (DH+DH+DH+DH+DH),Diadochos Armlets (SS+Det+Det+SS+DH),Diadochos Bottoms (SS+SS+SS+SS+SS),Diadochos Boots (DH+DH+DH+DH+DH),Diadochos Earring (SS+SS+DH+DH+DH),Diadochos Choker (DH+DH+DH+DH+DH),Diadochos Wristband (SS+Crit+SS+Crit+Crit),Diadochos Ring (SS+Det+SS+Det+Det),Diadochos Ring (Det+Det+SS+SS+Det),Caviar Canapes,127.0,3071.0,1723,2011,1161,1702,11642.507262224999,-10.1%
0.0,1.0,-1.0,1.0,Diadochos Rod (Det+Det+Det+Crit+DH),Diadochos Beret (Crit+Crit+Crit+Crit+Crit),Diadochos Coat (SS+SS+SS+SS+SS),Diadochos Armlets (SS+SS+SS+SS+SS),Diadochos Bottoms (SS+SS+Crit+Crit+Crit),Diadochos Boots (SS+DH+DH+SS+SS),Diadochos Earring (Crit+Crit+Crit+Crit+Crit),Diadochos Choker (SS+SS+SS+SS+SS),Diadochos Wristband (Crit+Crit+Crit+Crit+Crit),Diadochos Ring (Det+DH+SS+SS+Det),Diadochos Ring (Det+Det+SS+SS+Det),Baked Eggplant,127.0,3071.0,1159,2330,1288,1825,11688.586334478752,-9.80%
