Weapon,Head,Chest,Hands,Legs,Feet,Ear,Neck,Wrist,Finger1,Finger2,Food,WD,Int,DH,Crit,Det,SS,DPS,Gain
Rod of Ascension (SS+SS),Ascension Turban (Crit+Crit),Ascension Robe (Det+Det),Aug Credendum Gauntlets (Det+Det),Aug Credendum Hose (SS+SS),Ascension Sandals (SS+SS),Aug Credendum Earrings (Det+Det),Ascension Necklace (SS+Det),Aug Credendum Bracelets (SS+DH),Aug Credendum Ring (SS+Det),Ascension Ring (SS+SS),Caviar Sandwich,132.0,3375.0,1223,923,1530,2540,13561.196754299997,7.147%
Rod of Ascension (SS+SS),Ascension Turban (Det+Det),Ascension Robe (Det+Det),Aug Credendum Gauntlets (Det+Det),Aug Credendum Hose (SS+SS),Ascension Sandals (Crit+Crit),Aug Credendum Earrings (Det+Det),Ascension Necklace (SS+Det),Aug Credendum Bracelets (SS+DH),Aug Credendum Ring (SS+Det),Ascension Ring (SS+SS),Caviar Sandwich,132.0,3375.0,1223,923,1585,2485,13556.756283849998,7.112%
Rod of Ascension (Det+Det),Aug Credendum Circlet (Det+Det),Aug Credendum Surcoat (Det+Det),Ascension Gloves (Det+DH),Aug Credendum Hose (SS+Crit),Aug Credendum Sollerets (Det+Det),Ascension Earring (Det+DH),Aug Credendum Necklace (DH+DH),Ascension Bracelet (Det+DH),Ascension Ring (Det+DH),Aug Credendum Ring (Det+Det),Baked Eggplant,132.0,3375.0,1074,2130,2073,956,13554.588554540001,7.095%
Rod of Ascension (Det+Det),Ascension Turban (Det+Det),Ascension Robe (Det+Det),Aug Credendum Gauntlets (Det+Det),Aug Credendum Hose (SS+SS),Ascension Sandals (SS+SS),Aug Credendum Earrings (Det+Det),Ascension Necklace (Crit+Crit),Aug Credendum Bracelets (SS+DH),Ascension Ring (SS+Det),Aug Credendum Ring (Det+Det),Caviar Sandwich,132.0,3375.0,1223,923,1693,2360,13551.205695787497,7.068%
Rod of Ascension (Det+Det),Ascension Turban (Det+Crit),Aug Credendum Surcoat (Det+Det),Ascension Gloves (Det+Det),Ascension Longkilt (Crit+Crit),Ascension Sandals (Crit+Crit),Ascension Earring (Det+DH),Aug Credendum Necklace (Crit+DH),Ascension Bracelet (Det+DH),Ascension Ring (Det+DH),Aug Credendum Ring (Det+Det),Baked Eggplant,132.0,3375.0,981,2201,2005,1029,13536.726354216,6.954%
Rod of Ascension (SS+SS),Ascension Turban (DH+DH),Ascension Robe (DH+DH),Aug Credendum Gauntlets (DH+DH),Aug Credendum Hose (SS+SS),Ascension Sandals (SS+SS),Aug Credendum Earrings (Det+DH),Ascension Necklace (Crit+Crit),Aug Credendum Bracelets (SS+DH),Aug Credendum Ring (SS+SS),Ascension Ring (SS+SS),Honeyed Dragonfruit,132.0,3375.0,1499,923,1340,2408,13529.896571724998,6.900%
Rod of Ascension (SS+SS),Ascension Turban (DH+DH),Aug Credendum Surcoat (Det+DH),Aug Credendum Gauntlets (Det+DH),Ascension Longkilt (SS+SS),Aug Credendum Sollerets (SS+SS),Aug Credendum Earrings (Det+DH),Ascension Necklace (SS+Det),Aug Credendum Bracelets (SS+DH),Aug Credendum Ring (SS+Det),Ascension Ring (SS+SS),Caviar Canapes,132.0,3375.0,1613,1579,1150,1891,13509.599631107998,6.740%
Rod of Ascension (Det+Det),Ascension Turban (Det+Crit),Aug Credendum Surcoat (Det+Det),Aug Credendum Gauntlets (Det+Crit),Aug Credendum Hose (Crit+Crit),Ascension Sandals (Crit+Crit),Ascension Earring (SS+Det),Aug Credendum Necklace (SS+Crit),Ascension Bracelet (SS+Det),Ascension Ring (SS+Det),Aug Credendum Ring (Det+Det),Caviar Sandwich,132.0,3375.0,736,1787,2046,1664,13504.286153580002,6.698%
Rod of Ascension (SS+SS),Ascension Turban (Crit+Crit),Ascension Robe (Crit+Crit),Aug Credendum Gauntlets (Crit+Crit),Aug Credendum Hose (SS+SS),Aug Credendum Sollerets (SS+SS),Aug Credendum Earrings (Crit+Crit),Ascension Necklace (Crit+Crit),Ascension Bracelet (SS+SS),Aug Credendum Ring (SS+Crit),Ascension Ring (SS+SS),Caviar Sandwich,132.0,3375.0,1371,1521,1015,2326,13498.784419907997,6.654%
Rod of Ascension (Det+Det),Ascension Turban (Det+DH),Aug Credendum Surcoat (Det+Det),Ascension Gloves (Det+DH),Aug Credendum Hose (Crit+Crit),Ascension Sandals (DH+DH),Ascension Earring (Det+DH),Aug Credendum Necklace (DH+DH),Aug Credendum Bracelets (DH+DH),Aug Credendum Ring (Det+Det),Ascension Ring (Det+DH),Caviar Canapes,132.0,3375.0,905,1749,2182,1397,13497.75375312,6.646%
Rod of Ascension (SS+SS),Aug Credendum Circlet (SS+SS),Ascension Robe (Det+Det),Ascension Gloves (SS+SS),Ascension Longkilt (Crit+Crit),Aug Credendum Sollerets (Crit+Crit),Ascension Earring (SS+SS),Aug Credendum Necklace (Crit+Crit),Ascension Bracelet (SS+SS),Ascension Ring (SS+SS),Aug Credendum Ring (Crit+Crit),Caviar Sandwich,132.0,3375.0,1416,2186,1042,1543,13497.740620519999,6.646%
Rod of Ascension (DH+DH),Aug Credendum Circlet (DH+DH),Aug Credendum Surcoat (DH+DH),Aug Credendum Gauntlets (Crit+DH),Ascension Longkilt (Crit+Crit),Aug Credendum Sollerets (Crit+Crit),Aug Credendum Earrings (Crit+DH),Ascension Necklace (Crit+Crit),Ascension Bracelet (DH+DH),Aug Credendum Ring (Crit+Crit),Ascension Ring (DH+DH),Caviar Sandwich,132.0,3375.0,2003,2148,798,1250,13495.657633343999,6.630%
Rod of Ascension (DH+DH),Aug Credendum Circlet (DH+DH),Ascension Robe (DH+DH),Ascension Gloves (DH+DH),Ascension Longkilt (Det+Det),Aug Credendum Sollerets (Det+Det),Aug Credendum Earrings (Det+DH),Ascension Necklace (Det+Det),Ascension Bracelet (DH+DH),Aug Credendum Ring (Det+Det),Ascension Ring (DH+DH),Baked Eggplant,132.0,3375.0,2052,1759,1150,1255,13490.022794813502,6.585%
