Name,Slot,Ilvl,Unique,Meld Slots,Overmeld,Primary,Secondary
Augmented Lunar Envoy's Hairpin of Casting,Head,630,TRUE,2,FALSE,Crit,Det
Augmented Lunar Envoy's Justaucorps of Casting,Chest,630,TRUE,2,FALSE,DH,SS
Augmented Lunar Envoy's Gloves of Casting,Hands,630,TRUE,2,FALSE,SS,DH
Augmented Lunar Envoy's Longkilt of Casting,Legs,630,TRUE,2,FALSE,Crit,Det
Augmented Lunar Envoy's Boots of Casting,Feet,630,TRUE,2,FALSE,DH,Crit
Augmented Lunar Envoy's Earring of Casting,Ear,630,TRUE,2,FALSE,SS,Det
Augmented Lunar Envoy's Necklace of Casting,Neck,630,TRUE,2,FALSE,Det,Crit
Augmented Lunar Envoy's Bracelets of Casting,Wrist,630,TRUE,2,FALSE,SS,Det
Augmented Lunar Envoy's Ring of Casting,Finger,630,TRUE,2,FALSE,DH,Det
Abyssos Helm of Casting,Head,630,TRUE,2,FALSE,DH,SS
Abyssos Surcoat of Casting,Chest,630,TRUE,2,FALSE,Crit,Det
Abyssos Armguards of Casting,Hands,630,TRUE,2,FALSE,Crit,Det
Abyssos Culottes of Casting,Legs,630,TRUE,2,FALSE,SS,DH
Abyssos Boots of Casting,Feet,630,TRUE,2,FALSE,SS,DH
Abyssos Earrings of Casting,Ear,630,TRUE,2,FALSE,Det,Crit
Abyssos Choker of Casting,Neck,630,TRUE,2,FALSE,SS,DH
Abyssos Amulet of Casting,Wrist,630,TRUE,2,FALSE,Crit,DH
Abyssos Ring of Casting,Finger,630,TRUE,2,FALSE,Crit,SS
Augmented Lunar Envoy's Staff,Weapon,630,TRUE,2,FALSE,Det,DH
Abyssos Rod,Weapon,635,TRUE,2,FALSE,SS,Crit
