"Weapon","Head","Chest","Gloves","Legs","Feet","Ear","Neck","Wrist","Finger.1","Finger.2","Food","WD","Int","DH","Crit","Det","SS","DPS"
"Abyssos Rod (Det+Det)","Abyssos Helm of Casting (Det+SS)","Augmented Lunar Envoy's Justaucorps of Casting (Det+Det)","Augmented Lunar Envoy's Gloves of Casting (Det+Det)","Abyssos Culottes of Casting (Det+Det)","Abyssos Boots of Casting (Det+Det)","Augmented Lunar Envoy's Earring of Casting (DH+Det)","Abyssos Choker of Casting (Det+Det)","Augmented Lunar Envoy's Bracelets of Casting (DH+DH)","Augmented Lunar Envoy's Ring of Casting (Det+SS)","Abyssos Ring of Casting (Det+Det)","Piennolo Tomato Salad","126","2945","1673","737","1287","2287","10340.8640244"
"Abyssos Rod (Det+Det)","Abyssos Helm of Casting (Det+Det)","Augmented Lunar Envoy's Justaucorps of Casting (Det+Det)","Augmented Lunar Envoy's Gloves of Casting (Det+Det)","Abyssos Culottes of Casting (DH+Det)","Abyssos Boots of Casting (Det+Det)","Augmented Lunar Envoy's Earring of Casting (DH+Det)","Abyssos Choker of Casting (DH+Det)","Augmented Lunar Envoy's Bracelets of Casting (DH+Det)","Augmented Lunar Envoy's Ring of Casting (SS+SS)","Abyssos Ring of Casting (DH+DH)","Piennolo Tomato Salad","126","2945","1781","737","1179","2287","10335.5653413938"
"Abyssos Rod (Det+Det)","Abyssos Helm of Casting (Det+SS)","Augmented Lunar Envoy's Justaucorps of Casting (SS+SS)","Augmented Lunar Envoy's Gloves of Casting (Det+Det)","Abyssos Culottes of Casting (Det+Det)","Abyssos Boots of Casting (Det+Det)","Augmented Lunar Envoy's Earring of Casting (DH+Det)","Abyssos Choker of Casting (Det+Det)","Augmented Lunar Envoy's Bracelets of Casting (DH+Det)","Augmented Lunar Envoy's Ring of Casting (SS+SS)","Abyssos Ring of Casting (Det+Det)","Melon Pie","126","2945","1676","737","1273","2298","10331.9050788875"
"Abyssos Rod (Det+Det)","Abyssos Helm of Casting (Det+Det)","Augmented Lunar Envoy's Justaucorps of Casting (Det+Det)","Augmented Lunar Envoy's Gloves of Casting (Det+Det)","Abyssos Culottes of Casting (DH+DH)","Abyssos Boots of Casting (DH+Det)","Augmented Lunar Envoy's Earring of Casting (DH+DH)","Abyssos Choker of Casting (Det+Det)","Augmented Lunar Envoy's Bracelets of Casting (DH+DH)","Augmented Lunar Envoy's Ring of Casting (SS+SS)","Abyssos Ring of Casting (DH+DH)","Piennolo Tomato Salad","126","2945","1889","737","1071","2287","10331.4892519125"
"Abyssos Rod (Det+Det)","Abyssos Helm of Casting (Det+SS)","Augmented Lunar Envoy's Justaucorps of Casting (SS+SS)","Augmented Lunar Envoy's Gloves of Casting (Det+Det)","Abyssos Culottes of Casting (Det+Det)","Abyssos Boots of Casting (Det+Det)","Augmented Lunar Envoy's Earring of Casting (DH+DH)","Abyssos Choker of Casting (Det+Det)","Augmented Lunar Envoy's Bracelets of Casting (DH+DH)","Abyssos Ring of Casting (DH+Det)","Augmented Lunar Envoy's Ring of Casting (SS+SS)","Melon Pie","126","2945","1784","737","1165","2298","10327.648815"
"Abyssos Rod (Det+Det)","Abyssos Helm of Casting (Det+SS)","Augmented Lunar Envoy's Justaucorps of Casting (Det+Det)","Augmented Lunar Envoy's Gloves of Casting (Det+Det)","Abyssos Culottes of Casting (DH+DH)","Abyssos Boots of Casting (DH+Det)","Augmented Lunar Envoy's Earring of Casting (DH+Det)","Abyssos Choker of Casting (Det+Det)","Augmented Lunar Envoy's Bracelets of Casting (DH+DH)","Abyssos Ring of Casting (DH+SS)","Augmented Lunar Envoy's Ring of Casting (SS+SS)","Piennolo Tomato Salad","126","2945","1817","737","1071","2359","10327.1121804375"
"Abyssos Rod (DH+DH)","Abyssos Helm of Casting (Det+Det)","Augmented Lunar Envoy's Justaucorps of Casting (SS+SS)","Augmented Lunar Envoy's Gloves of Casting (Det+Det)","Abyssos Culottes of Casting (DH+DH)","Abyssos Boots of Casting (DH+Det)","Augmented Lunar Envoy's Earring of Casting (DH+Det)","Abyssos Choker of Casting (Det+Det)","Augmented Lunar Envoy's Bracelets of Casting (DH+DH)","Abyssos Ring of Casting (Det+Det)","Augmented Lunar Envoy's Ring of Casting (Crit+Det)","Piennolo Tomato Salad","126","2945","1853","773","1071","2287","10326.67205427"
"Abyssos Rod (Crit+Crit)","Augmented Lunar Envoy's Hairpin of Casting (DH+Det)","Abyssos Surcoat of Casting (Det+Det)","Abyssos Armguards of Casting (DH+DH)","Augmented Lunar Envoy's Longkilt of Casting (DH+DH)","Augmented Lunar Envoy's Boots of Casting (Crit+Det)","Abyssos Earrings of Casting (DH+Crit)","Augmented Lunar Envoy's Necklace of Casting (SS+SS)","Abyssos Amulet of Casting (Det+SS)","Augmented Lunar Envoy's Ring of Casting (Crit+Crit)","Abyssos Ring of Casting (DH+DH)","Garlean Pizza","126","2945","1091","2386","1559","948","10306.0055889"
"Abyssos Rod (Crit+Crit)","Augmented Lunar Envoy's Hairpin of Casting (DH+DH)","Abyssos Surcoat of Casting (DH+DH)","Abyssos Armguards of Casting (DH+SS)","Augmented Lunar Envoy's Longkilt of Casting (DH+DH)","Augmented Lunar Envoy's Boots of Casting (Det+Det)","Abyssos Earrings of Casting (DH+Crit)","Augmented Lunar Envoy's Necklace of Casting (Crit+SS)","Abyssos Amulet of Casting (DH+SS)","Augmented Lunar Envoy's Ring of Casting (Crit+Crit)","Abyssos Ring of Casting (DH+DH)","Garlean Pizza","126","2945","1199","2386","1451","948","10304.9245575787"
"Abyssos Rod (Crit+Crit)","Augmented Lunar Envoy's Hairpin of Casting (DH+DH)","Abyssos Surcoat of Casting (DH+DH)","Abyssos Armguards of Casting (DH+DH)","Augmented Lunar Envoy's Longkilt of Casting (DH+DH)","Augmented Lunar Envoy's Boots of Casting (Crit+Det)","Abyssos Earrings of Casting (DH+Crit)","Augmented Lunar Envoy's Necklace of Casting (DH+DH)","Abyssos Amulet of Casting (DH+Det)","Augmented Lunar Envoy's Ring of Casting (Crit+Crit)","Abyssos Ring of Casting (DH+DH)","Garlean Pizza","126","2945","1307","2386","1451","840","10303.9465643165"
"Abyssos Rod (Crit+Crit)","Augmented Lunar Envoy's Hairpin of Casting (DH+DH)","Abyssos Surcoat of Casting (DH+DH)","Abyssos Armguards of Casting (DH+DH)","Augmented Lunar Envoy's Longkilt of Casting (DH+DH)","Augmented Lunar Envoy's Boots of Casting (Det+Det)","Abyssos Earrings of Casting (DH+Crit)","Augmented Lunar Envoy's Necklace of Casting (DH+Crit)","Abyssos Amulet of Casting (Det+Det)","Abyssos Ring of Casting (DH+Det)","Augmented Lunar Envoy's Ring of Casting (Crit+Crit)","Garlean Pizza","126","2945","1199","2386","1559","840","10303.6999676135"
"Abyssos Rod (Crit+Crit)","Augmented Lunar Envoy's Hairpin of Casting (DH+DH)","Abyssos Surcoat of Casting (Det+Det)","Abyssos Armguards of Casting (DH+DH)","Augmented Lunar Envoy's Longkilt of Casting (DH+DH)","Augmented Lunar Envoy's Boots of Casting (Det+Det)","Abyssos Earrings of Casting (DH+Crit)","Augmented Lunar Envoy's Necklace of Casting (DH+Crit)","Abyssos Amulet of Casting (Det+Det)","Abyssos Ring of Casting (Det+Det)","Augmented Lunar Envoy's Ring of Casting (Crit+Crit)","Garlean Pizza","126","2945","1091","2386","1667","840","10303.5743538"
"Abyssos Rod (Crit+Crit)","Augmented Lunar Envoy's Hairpin of Casting (DH+DH)","Abyssos Surcoat of Casting (Det+Det)","Abyssos Armguards of Casting (DH+Det)","Augmented Lunar Envoy's Longkilt of Casting (Det+Det)","Augmented Lunar Envoy's Boots of Casting (Crit+Det)","Abyssos Earrings of Casting (DH+Crit)","Augmented Lunar Envoy's Necklace of Casting (DH+SS)","Abyssos Amulet of Casting (SS+SS)","Abyssos Ring of Casting (Det+Det)","Augmented Lunar Envoy's Ring of Casting (Crit+Crit)","Garlean Pizza","126","2945","983","2386","1667","948","10302.27769508"
"Abyssos Rod (Crit+Det)","Augmented Lunar Envoy's Hairpin of Casting (DH+DH)","Abyssos Surcoat of Casting (Det+Det)","Abyssos Armguards of Casting (DH+Det)","Augmented Lunar Envoy's Longkilt of Casting (Det+Det)","Augmented Lunar Envoy's Boots of Casting (Crit+Det)","Abyssos Earrings of Casting (DH+Crit)","Augmented Lunar Envoy's Necklace of Casting (DH+Crit)","Abyssos Amulet of Casting (Det+Det)","Augmented Lunar Envoy's Ring of Casting (Crit+Crit)","Abyssos Ring of Casting (Det+Det)","Garlean Pizza","126","2945","983","2386","1775","840","10301.071339378"
"Abyssos Rod (Crit+Crit)","Augmented Lunar Envoy's Hairpin of Casting (Det+SS)","Abyssos Surcoat of Casting (Det+Det)","Abyssos Armguards of Casting (Det+SS)","Augmented Lunar Envoy's Longkilt of Casting (Det+Det)","Augmented Lunar Envoy's Boots of Casting (Crit+Det)","Abyssos Earrings of Casting (DH+DH)","Augmented Lunar Envoy's Necklace of Casting (Crit+SS)","Abyssos Amulet of Casting (Det+Det)","Abyssos Ring of Casting (Det+Det)","Augmented Lunar Envoy's Ring of Casting (Crit+Crit)","Garlean Pizza","126","2945","875","2386","1775","948","10299.8910326235"
"Abyssos Rod (Crit+Crit)","Augmented Lunar Envoy's Hairpin of Casting (DH+Det)","Abyssos Surcoat of Casting (Det+SS)","Abyssos Armguards of Casting (Det+SS)","Augmented Lunar Envoy's Longkilt of Casting (DH+DH)","Augmented Lunar Envoy's Boots of Casting (Crit+Det)","Augmented Lunar Envoy's Earring of Casting (Crit+Crit)","Abyssos Choker of Casting (Crit+Crit)","Abyssos Amulet of Casting (SS+SS)","Abyssos Ring of Casting (Det+SS)","Augmented Lunar Envoy's Ring of Casting (Crit+Crit)","Garlean Pizza","126","2945","1006","2304","1382","1292","10295.0803125"
"Abyssos Rod (Crit+Crit)","Augmented Lunar Envoy's Hairpin of Casting (SS+SS)","Abyssos Surcoat of Casting (SS+SS)","Abyssos Armguards of Casting (SS+SS)","Augmented Lunar Envoy's Longkilt of Casting (SS+SS)","Augmented Lunar Envoy's Boots of Casting (Det+Det)","Abyssos Earrings of Casting (DH+Crit)","Augmented Lunar Envoy's Necklace of Casting (DH+Crit)","Abyssos Amulet of Casting (SS+SS)","Abyssos Ring of Casting (DH+SS)","Augmented Lunar Envoy's Ring of Casting (Crit+Crit)","Garlean Pizza","126","2945","911","2386","1451","1236","10294.7810974223"
"Abyssos Rod (Crit+Crit)","Augmented Lunar Envoy's Hairpin of Casting (DH+DH)","Abyssos Surcoat of Casting (SS+SS)","Augmented Lunar Envoy's Gloves of Casting (Crit+Crit)","Augmented Lunar Envoy's Longkilt of Casting (DH+DH)","Augmented Lunar Envoy's Boots of Casting (Crit+SS)","Abyssos Earrings of Casting (DH+Crit)","Abyssos Choker of Casting (Crit+Crit)","Abyssos Amulet of Casting (DH+SS)","Abyssos Ring of Casting (DH+DH)","Augmented Lunar Envoy's Ring of Casting (Crit+Crit)","Garlean Pizza","126","2945","1306","2263","1123","1292","10294.207226248"
