"Weapon","Head","Chest","Gloves","Legs","Feet","Ear","Neck","Wrist","Finger.1","Finger.2","Food","WD","Int","DH","Crit","Det","SS","DPS"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (SS+SS+SS+SS+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+DH+Crit)","Rinascita Armguards of Casting (Det+Det+Det+DH+SS)","Rinascita Poleyns of Casting (DH+DH+DH+DH+DH)","Lunar Envoy's Boots of Casting (Crit+Det)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Lunar Envoy's Necklace of Casting (DH+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (DH+DH+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+SS+SS)","Garlean Pizza","122","2704","1285","2265","1232","1455","9332.9955936"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (DH+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+SS+SS)","Rinascita Armguards of Casting (Det+Det+Det+DH+SS)","Rinascita Poleyns of Casting (SS+SS+SS+SS+SS)","Lunar Envoy's Boots of Casting (Crit+Det)","Rinascita Earring of Casting (Det+Det+Det+SS+SS)","Lunar Envoy's Necklace of Casting (DH+Crit)","Rinascita Bracelet of Casting (Crit+SS+Crit+Crit+Det)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Rinascita Ring of Casting (DH+Det+Det+Det+SS)","Garlean Pizza","122","2704","1141","2205","1436","1455","9331.5599804"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (DH+SS+SS+DH+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (DH+SS+SS+DH+SS)","Rinascita Poleyns of Casting (DH+DH+Det+Det+Det)","Lunar Envoy's Boots of Casting (SS+SS)","Rinascita Earring of Casting (DH+SS+SS+SS+SS)","Lunar Envoy's Necklace of Casting (DH+Crit)","Rinascita Bracelet of Casting (Crit+Crit+SS+SS+SS)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+DH+DH+Det)","Garlean Pizza","122","2704","1357","2205","1220","1455","9330.6929352"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (DH+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+SS+SS)","Rinascita Armguards of Casting (Det+Det+SS+Det+SS)","Rinascita Poleyns of Casting (DH+DH+DH+Det+SS)","Lunar Envoy's Boots of Casting (Crit+Det)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Lunar Envoy's Necklace of Casting (DH+Crit)","Rinascita Bracelet of Casting (Crit+SS+Crit+Crit+Det)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Rinascita Ring of Casting (DH+Det+Det+Det+SS)","Garlean Pizza","122","2704","1237","2205","1340","1455","9330.6090276"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (Det+Det+Det+Det+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+SS+SS)","Rinascita Armguards of Casting (DH+Det+Det+DH+Det)","Rinascita Poleyns of Casting (DH+DH+DH+DH+SS)","Lunar Envoy's Boots of Casting (SS+SS)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Lunar Envoy's Necklace of Casting (DH+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (DH+SS+DH+DH+Det)","Rinascita Ring of Casting (DH+Det+DH+Det+SS)","Garlean Pizza","122","2704","1333","2217","1232","1455","9329.519957625"
"Windswept Rod (Det+Det)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (SS+SS+SS+DH+DH)","Rinascita Poleyns of Casting (DH+DH+SS+DH+SS)","Lunar Envoy's Boots of Casting (Crit+Det)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Lunar Envoy's Necklace of Casting (Crit+SS)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Garlean Pizza","122","2704","1129","2265","1544","1299","9328.468753632"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (DH+Det+Det+DH+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+SS)","Rinascita Armguards of Casting (DH+Det+Det+DH+Det)","Rinascita Poleyns of Casting (DH+SS+SS+DH+DH)","Lunar Envoy's Boots of Casting (Crit+Det)","Rinascita Earring of Casting (DH+Det+Det+Det+Det)","Lunar Envoy's Necklace of Casting (DH+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Garlean Pizza","122","2704","1441","2265","1340","1191","9328.112729364"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (SS+SS+SS+SS+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+DH+Crit)","Rinascita Armguards of Casting (Det+Det+Det+Det+SS)","Rinascita Poleyns of Casting (SS+SS+SS+SS+SS)","Lunar Envoy's Boots of Casting (Crit+SS)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Lunar Envoy's Necklace of Casting (Crit+SS)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Garlean Pizza","122","2704","1033","2265","1232","1707","9327.594172278"
"Windswept Rod (DH+SS)","Rinascita Hood of Casting (Det+SS+SS+DH+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+DH+DH)","Rinascita Armguards of Casting (Det+Det+Det+DH+Det)","Rinascita Poleyns of Casting (SS+SS+SS+DH+DH)","Lunar Envoy's Boots of Casting (SS+SS)","Rinascita Earring of Casting (Det+SS+Det+SS+SS)","Lunar Envoy's Necklace of Casting (DH+Crit)","Rinascita Bracelet of Casting (Crit+Det+Crit+Crit+Det)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Garlean Pizza","122","2704","1285","2169","1328","1455","9327.042615744"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (DH+SS+SS+DH+SS)","Rinascita Coat of Casting (Crit+SS+SS+Crit+Crit)","Rinascita Armguards of Casting (DH+SS+SS+DH+SS)","Rinascita Poleyns of Casting (DH+DH+DH+DH+DH)","Lunar Envoy's Boots of Casting (Crit+SS)","Rinascita Earring of Casting (DH+SS+SS+SS+SS)","Lunar Envoy's Necklace of Casting (DH+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+DH+DH+Det)","Rinascita Ring of Casting (DH+Det+DH+Det+Det)","Garlean Pizza","122","2704","1465","2205","1112","1455","9325.781772"
"Windswept Rod (Det+Det)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Rinascita Poleyns of Casting (DH+DH+SS+DH+SS)","Lunar Envoy's Boots of Casting (SS+SS)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Lunar Envoy's Necklace of Casting (SS+SS)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (DH+DH+DH+Det+Det)","Garlean Pizza","122","2704","1189","2205","1544","1299","9325.1550336"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (DH+SS+SS+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (Det+SS+SS+Det+Det)","Rinascita Poleyns of Casting (DH+DH+Det+DH+DH)","Lunar Envoy's Boots of Casting (Det+Det)","Rinascita Earring of Casting (Det+SS+Det+Det+SS)","Lunar Envoy's Necklace of Casting (DH+DH)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (DH+DH+DH+Det+Det)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Garlean Pizza","122","2704","1393","2205","1340","1299","9324.3681858"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+Det+Det+SS+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (Det+Det+Det+DH+SS)","Rinascita Poleyns of Casting (DH+DH+DH+DH+DH)","Lunar Envoy's Boots of Casting (Det+Det)","Rinascita Earring of Casting (Det+SS+Det+Det+SS)","Lunar Envoy's Necklace of Casting (DH+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Det+Det)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Garlean Pizza","122","2704","1489","2217","1340","1191","9324.3190404975"
