"Weapon","Head","Chest","Gloves","Legs","Feet","Ear","Neck","Wrist","Finger.1","Finger.2","Food","WD","Int","DH","Crit","Det","SS","DPS"
"Windswept Rod (Det+Det)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Lunar Envoy's Justaucorps of Casting (Crit+Crit)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Rinascita Poleyns of Casting (DH+Det+SS+DH+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Det+Det)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Garlean Pizza","122","2702","1368","2150","1301","1455","9341.80056752"
"Windswept Rod (Det+Det)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Lunar Envoy's Justaucorps of Casting (Crit+Crit)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Rinascita Poleyns of Casting (DH+Det+SS+Det+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Garlean Pizza","122","2702","1248","2162","1409","1455","9340.8906699375"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+Det+SS+DH+SS)","Lunar Envoy's Justaucorps of Casting (Crit+Crit)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Rinascita Poleyns of Casting (DH+DH+DH+DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+DH+Det)","Rinascita Earring of Casting (Det+Det+DH+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Garlean Pizza","122","2702","1464","2150","1205","1455","9339.257868048"
"Windswept Rod (Det+Det)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Lunar Envoy's Justaucorps of Casting (Crit+Det)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Rinascita Poleyns of Casting (DH+DH+SS+DH+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+DH+Crit+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Garlean Pizza","122","2702","1416","2102","1301","1455","9338.8396841185"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+Det+SS+Det+Det)","Lunar Envoy's Justaucorps of Casting (Crit+Crit)","Rinascita Armguards of Casting (Det+Det+Det+SS+SS)","Rinascita Poleyns of Casting (DH+DH+SS+DH+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+DH+DH)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Carrot Pudding","122","2702","1392","2111","1314","1457","9337.56378615"
"Windswept Rod (Det+Det)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Lunar Envoy's Justaucorps of Casting (Det+Det)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Rinascita Poleyns of Casting (DH+Det+SS+Det+SS)","Rinascita Shoes of Casting (Crit+Crit+Det+Crit+Crit)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Garlean Pizza","122","2702","1248","2054","1517","1455","9337.27917888"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (DH+Det+Det+DH+Det)","Lunar Envoy's Justaucorps of Casting (Det+Det)","Rinascita Armguards of Casting (DH+Det+Det+DH+Det)","Rinascita Poleyns of Casting (DH+Det+SS+Det+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Earring of Casting (DH+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Det+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Garlean Pizza","122","2702","1464","2054","1301","1455","9336.073859712"
"Windswept Rod (Det+Det)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Lunar Envoy's Justaucorps of Casting (Det+Det)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Rinascita Poleyns of Casting (DH+Det+SS+DH+SS)","Rinascita Shoes of Casting (Crit+Crit+Det+DH+Det)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+DH+DH+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Garlean Pizza","122","2702","1296","2006","1517","1455","9335.160867301"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (SS+SS+SS+SS+SS)","Lunar Envoy's Justaucorps of Casting (Crit+Crit)","Rinascita Armguards of Casting (Det+Det+Det+DH+SS)","Rinascita Poleyns of Casting (SS+SS+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Det+Crit+Det)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Rinascita Ring of Casting (Det+SS+DH+Det+Det)","Garlean Pizza","122","2702","1236","2102","1001","1935","9333.8472229905"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (Det+Det+Det+Det+SS)","Lunar Envoy's Justaucorps of Casting (Crit+Crit)","Rinascita Armguards of Casting (SS+SS+SS+SS+SS)","Rinascita Poleyns of Casting (SS+SS+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+DH+DH)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (DH+SS+DH+DH+Det)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Garlean Pizza","122","2702","1296","2150","893","1935","9333.482518912"
