"Weapon","Head","Chest","Gloves","Legs","Feet","Ear","Neck","Wrist","Finger.1","Finger.2","Food","WD","Int","DH","Crit","Det","SS","DPS"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+SS+SS+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (DH+Det+SS+Det+Det)","Lunar Envoy's Longkilt of Casting (DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+DH+DH)","Rinascita Earring of Casting (Det+SS+Det+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Garlean Pizza","122","2702","1160","2216","1328","1570","9345.62252257"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (DH+Det+Det+Det+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+DH+Crit)","Rinascita Armguards of Casting (Det+Det+SS+DH+SS)","Lunar Envoy's Longkilt of Casting (DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+Det+DH+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Garlean Pizza","122","2702","1160","2216","1436","1462","9344.417257865"
"Windswept Rod (Det+Det)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (DH+Det+Det+DH+SS)","Lunar Envoy's Longkilt of Casting (Det+Det)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+DH+DH+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (DH+SS+DH+DH+SS)","Rinascita Ring of Casting (DH+DH+DH+Det+Det)","Garlean Pizza","122","2702","1160","2216","1436","1453","9344.417257865"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (DH+SS+SS+DH+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (DH+SS+SS+DH+SS)","Lunar Envoy's Longkilt of Casting (DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+DH+DH)","Rinascita Earring of Casting (DH+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Garlean Pizza","122","2702","1268","2216","1220","1570","9343.856324244"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (DH+Det+Det+DH+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+DH+DH)","Rinascita Armguards of Casting (DH+Det+Det+SS+SS)","Lunar Envoy's Longkilt of Casting (SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Rinascita Ring of Casting (Det+SS+DH+Det+Det)","Garlean Pizza","122","2702","1136","2216","1232","1690","9343.35622507375"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+Det+SS+Det+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+DH+DH)","Rinascita Armguards of Casting (Det+Det+Det+Det+SS)","Lunar Envoy's Longkilt of Casting (DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (DH+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Garlean Pizza","122","2702","1364","2216","1232","1462","9343.07347340125"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+Det+Det+DH+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (Det+Det+SS+DH+SS)","Lunar Envoy's Longkilt of Casting (DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+Det+DH+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+DH+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Garlean Pizza","122","2702","1244","2228","1340","1462","9342.549907008"
"Windswept Rod (Det+Det)","Rinascita Hood of Casting (SS+SS+SS+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+SS)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Lunar Envoy's Longkilt of Casting (Det+Det)","Rinascita Shoes of Casting (Crit+Crit+Crit+Det+Det)","Rinascita Earring of Casting (DH+SS+Det+Det+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Garlean Pizza","122","2702","1088","2180","1436","1570","9341.512809993"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+SS+SS+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (DH+Det+Det+Det+SS)","Lunar Envoy's Longkilt of Casting (DH+Det)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+SS+DH+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Det+Det+SS+SS)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Garlean Pizza","122","2702","1100","2168","1436","1570","9341.432953776"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (DH+SS+SS+DH+Det)","Rinascita Coat of Casting (DH+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (DH+Det+SS+Det+Det)","Lunar Envoy's Longkilt of Casting (Det+Det)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+SS+DH+SS+SS)","Rinascita Necklace of Casting (DH+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Garlean Pizza","122","2702","1196","2168","1340","1570","9341.0846352"
"Windswept Rod (Det+Det)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Lunar Envoy's Longkilt of Casting (Det+Det)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (DH+DH+DH+Det+Det)","Rinascita Ring of Casting (DH+Det+DH+Det+SS)","Piennolo Tomato Salad","122","2702","1134","2143","1544","1453","9341.06042727"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (DH+Det+SS+SS+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Lunar Envoy's Longkilt of Casting (DH+DH)","Rinascita Shoes of Casting (DH+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (DH+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Garlean Pizza","122","2702","1316","2168","1220","1570","9340.69761456"
"Windswept Rod (Det+Det)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+DH+SS)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Lunar Envoy's Longkilt of Casting (DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+DH+DH+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Ring of Casting (DH+DH+DH+Det+Det)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Piennolo Tomato Salad","122","2702","1302","2083","1436","1453","9340.62351920175"
