SpS,PPS
400,195.43
415,196.1
430,196.11
444,196.11
459,196.35
474,196.81
488,196.82
503,196.88
517,197.06
532,197.51
547,197.52
561,197.76
576,197.77
590,198.23
605,198.3
620,198.48
634,198.49
649,199
664,199.18
678,199.21
693,199.22
707,199.72
722,199.91
737,199.92
751,199.99
766,200.46
780,200.65
795,200.72
810,200.73
824,201.38
839,201.39
854,201.44
868,201.47
883,202.12
897,202.19
912,202.2
927,202.38
941,202.92
956,202.93
970,202.95
985,203.15
1000,203.68
1014,203.69
1029,203.88
1044,203.95
1058,204.42
1073,204.45
1087,204.71
1102,204.72
1117,205.2
1131,205.2
1146,205.46
1160,205.47
1175,205.97
1190,206.24
1204,206.24
1219,206.25
1234,206.8
1248,207.01
1263,207.02
1277,207.03
1292,207.78
1307,207.79
1321,207.8
1336,207.86
1350,208.56
1365,208.59
1380,208.66
1394,208.87
1409,209.36
1424,209.37
1438,209.44
1453,210.14
1467,210.15
1482,210.22
1497,210.25
1511,210.46
1526,211.02
1540,211.02
1555,211.25
1570,211.75
1584,211.84
1599,212.06
1614,212.05
1628,212.13
1643,212.63
1657,212.88
1672,212.94
1687,213.45
1701,213.67
1716,213.68
1730,213.76
1745,213.77
1760,214.51
1774,214.59
1789,214.6
1804,215.11
1818,215.39
1833,215.41
1847,215.42
1862,215.45
1877,216.24
1891,216.25
1906,216.27
1920,216.57
1935,217.09
1950,217.1
1964,217.18
1979,217.42
1994,217.96
2008,217.96
2023,218.26
2037,218.27
2052,218.81
2067,218.89
2081,219.14
2096,219.14
2110,219.74
2125,219.98
2140,219.99
2154,220.02
2169,220.62
2184,220.87
2198,220.88
2213,220.96
2227,221.48
2242,221.74
2257,221.84
2271,221.85
2286,222.63
2300,222.63
2315,222.71
2330,222.73
2344,223.54
2359,223.62
2374,223.61
2388,223.87
2403,224.49
2417,224.52
2432,224.51
2447,224.78
2461,225.41
2476,225.42
2490,225.7
2505,225.77
2520,226.32
2534,226.33
2549,226.69
2564,226.7
2578,227.26
2593,227.34
2607,227.61
2622,227.62
2637,228.18
2651,228.53
2666,228.55
2680,228.56
2695,229.21
2710,229.46
2724,229.47
2739,229.5
2754,230.43
2768,230.44
2783,230.43
2797,230.52
2812,231.37
2827,231.39
2841,231.48
2856,231.76
2870,232.34
2885,232.35
2900,232.44
2914,233.3
2929,233.33
2944,233.42
2958,233.43
2973,233.71
