"Weapon","Head","Chest","Gloves","Legs","Feet","Ear","Neck","Wrist","Finger.1","Finger.2","Food","WD","Int","DH","Crit","Det","SS","DPS"
"Windswept Rod (Det+Det)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (SS+SS+SS+Det+Det)","Rinascita Poleyns of Casting (Det+Det+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (DH+DH+Det+Det+Det)","Garlean Pizza","122","2685","1016","2234","1503","1570","9315.1139058725"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+SS+SS+DH+DH)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (Det+Det+SS+Det+Det)","Rinascita Poleyns of Casting (SS+SS+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+SS+DH+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Rinascita Ring of Casting (DH+Det+Det+Det+Det)","Garlean Pizza","122","2685","1196","2234","1191","1702","9313.692362865"
"Windswept Rod (Det+SS)","Rinascita Hood of Casting (SS+SS+SS+SS+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (DH+Det+Det+DH+SS)","Rinascita Poleyns of Casting (DH+DH+Det+Det+Det)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Rinascita Ring of Casting (DH+DH+SS+SS+SS)","Garlean Pizza","122","2685","1136","2234","1191","1762","9313.61713835575"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+Det+Det+DH+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (DH+Det+SS+DH+SS)","Rinascita Poleyns of Casting (SS+SS+SS+DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+Det+DH+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Garlean Pizza","122","2685","1328","2234","1191","1570","9313.129466157"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+SS+SS)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Rinascita Poleyns of Casting (DH+Det+SS+DH+Det)","Rinascita Shoes of Casting (Crit+Crit+Crit+Det+Det)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Garlean Pizza","122","2685","1064","2186","1503","1570","9312.38492704"
"Windswept Rod (DH+Det)","Rinascita Hood of Casting (SS+SS+SS+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (DH+Det+SS+Det+SS)","Rinascita Poleyns of Casting (DH+Det+Det+DH+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+DH+Crit+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (DH+DH+DH+Det+Det)","Garlean Pizza","122","2685","1160","2198","1395","1570","9311.583214485"
"Windswept Rod (DH+SS)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (SS+SS+SS+Det+Det)","Rinascita Poleyns of Casting (DH+DH+DH+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Det+Crit+Crit)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (DH+DH+DH+Det+Det)","Garlean Pizza","122","2685","1172","2186","1395","1570","9311.447608086"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (DH+SS+SS+SS+SS)","Rinascita Coat of Casting (DH+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (Det+Det+Det+DH+Det)","Rinascita Poleyns of Casting (SS+SS+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Garlean Pizza","122","2685","1244","2186","1191","1702","9310.581535632"
"Windswept Rod (Det+SS)","Rinascita Hood of Casting (DH+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (Det+SS+SS+DH+Det)","Rinascita Poleyns of Casting (DH+DH+DH+DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+DH+Det)","Rinascita Earring of Casting (Det+SS+Det+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+DH+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Garlean Pizza","122","2685","1364","2198","1191","1570","9309.97216064025"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (Det+Det+Det+DH+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+SS)","Rinascita Armguards of Casting (Det+Det+Det+DH+SS)","Rinascita Poleyns of Casting (SS+SS+SS+DH+Det)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+SS+SS+SS)","Rinascita Ring of Casting (DH+DH+SS+SS+SS)","Rinascita Ring of Casting (DH+DH+SS+SS+SS)","Garlean Pizza","122","2685","1196","2186","1179","1762","9308.79980316"
"Windswept Rod (DH+Det)","Rinascita Hood of Casting (DH+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (Det+Det+Det+Det+SS)","Rinascita Poleyns of Casting (DH+DH+DH+DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+Det+DH+DH+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+SS+Crit+Crit+SS)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Garlean Pizza","122","2685","1388","2186","1287","1453","9308.670419516"
"Windswept Rod (Det+Det)","Rinascita Hood of Casting (DH+SS+SS+DH+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (SS+SS+SS+SS+SS)","Rinascita Poleyns of Casting (DH+DH+DH+DH+Det)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+SS+SS+SS)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Garlean Pizza","122","2685","1112","2198","1191","1822","9308.28068244"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+Crit+SS+Crit+Crit)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Rinascita Poleyns of Casting (DH+DH+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Det+Det)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Det+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (DH+DH+DH+Det+Det)","Garlean Pizza","122","2685","1100","2150","1503","1570","9307.67531276"
"Windswept Rod (DH+DH)","Rinascita Hood of Casting (DH+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+SS)","Rinascita Armguards of Casting (DH+Det+Det+Det+Det)","Rinascita Poleyns of Casting (DH+DH+DH+DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (DH+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Det+Crit+Det+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Piennolo Tomato Salad","122","2685","1326","2053","1491","1453","9305.984894976"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (Det+SS+SS+SS+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+DH+DH)","Rinascita Armguards of Casting (SS+SS+SS+SS+SS)","Rinascita Poleyns of Casting (DH+DH+DH+DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (Det+SS+Det+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Det+Det+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Det+Det)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Rinascita Ring of Casting (Det+Det+DH+Det+Det)","Garlean Pizza","122","2685","1220","2150","1191","1762","9305.738166772"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+Crit+SS+DH+Crit)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Rinascita Poleyns of Casting (DH+DH+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Det+DH+Crit)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+DH+Crit+Det)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (DH+DH+DH+Det+Det)","Garlean Pizza","122","2685","1136","2114","1503","1570","9305.30892225"
"Windswept Rod (Det+SS)","Rinascita Hood of Casting (Det+Det+Det+Det+Det)","Rinascita Coat of Casting (Crit+SS+SS+Crit+Crit)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Rinascita Poleyns of Casting (Det+Det+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Det+Crit+Det)","Rinascita Earring of Casting (Det+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Det)","Rinascita Ring of Casting (DH+DH+DH+DH+Det)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Garlean Pizza","122","2685","1148","2102","1503","1570","9305.28837463"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (SS+SS+SS+SS+SS)","Rinascita Coat of Casting (Crit+Crit+SS+Crit+Crit)","Rinascita Armguards of Casting (SS+SS+SS+SS+SS)","Rinascita Poleyns of Casting (SS+SS+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+SS+Crit+Crit+Det)","Rinascita Ring of Casting (Det+Det+Det+SS+SS)","Rinascita Ring of Casting (DH+Det+SS+SS+SS)","Garlean Pizza","122","2685","980","2150","1083","2110","9303.563175516"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (SS+SS+SS+SS+SS)","Rinascita Coat of Casting (Crit+Crit+SS+Crit+Crit)","Rinascita Armguards of Casting (SS+SS+SS+SS+SS)","Rinascita Poleyns of Casting (SS+SS+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+SS+DH+Det+Det)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Piennolo Tomato Salad","122","2685","1014","2101","1083","2125","9303.1823216655"
"Windswept Rod (Det+SS)","Rinascita Hood of Casting (DH+SS+SS+DH+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (DH+SS+SS+DH+SS)","Rinascita Poleyns of Casting (DH+DH+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (DH+SS+SS+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+DH+Det+Det)","Rinascita Bracelet of Casting (Det+Det+Crit+SS+SS)","Rinascita Ring of Casting (DH+DH+DH+DH+DH)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Garlean Pizza","122","2685","1268","2102","1191","1762","9303.09652789725"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (DH+SS+SS+DH+SS)","Rinascita Coat of Casting (DH+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (Det+Det+Det+Det+Det)","Rinascita Poleyns of Casting (DH+DH+DH+DH+DH)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (DH+Det+Det+Det+Det)","Rinascita Necklace of Casting (Crit+Det+Crit+Det+Det)","Rinascita Bracelet of Casting (Det+Det+Crit+Crit+SS)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Rinascita Ring of Casting (Det+Det+Det+Det+Det)","Garlean Pizza","122","2685","1196","2054","1503","1570","9303.0917904"
"Windswept Rod (SS+SS)","Rinascita Hood of Casting (SS+SS+SS+SS+SS)","Rinascita Coat of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Armguards of Casting (SS+SS+SS+SS+SS)","Rinascita Poleyns of Casting (SS+SS+SS+SS+SS)","Rinascita Shoes of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Earring of Casting (SS+SS+SS+SS+SS)","Rinascita Necklace of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Bracelet of Casting (Crit+Crit+Crit+Crit+Crit)","Rinascita Ring of Casting (Det+SS+Det+Det+SS)","Rinascita Ring of Casting (Det+Det+SS+SS+SS)","Garlean Pizza","122","2685","944","2234","1083","2053","9302.774226108"
